127.0.0.1 - - [05/May/2021:20:35:20 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/May/2021:20:35:24 +0900] "GET /text/main.jsp HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [05/May/2021:20:35:24 +0900] "GET /text/css/bootstrap.css HTTP/1.1" 200 152767
0:0:0:0:0:0:0:1 - - [05/May/2021:20:35:24 +0900] "GET /text/css/custom.css HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [05/May/2021:20:35:24 +0900] "GET /text/images/door.jpg HTTP/1.1" 200 128235
0:0:0:0:0:0:0:1 - - [05/May/2021:20:35:24 +0900] "GET /text/js/bootstrap.js HTTP/1.1" 200 72084
0:0:0:0:0:0:0:1 - - [05/May/2021:20:35:24 +0900] "GET /text/images/info.jpg HTTP/1.1" 200 152341
0:0:0:0:0:0:0:1 - - [05/May/2021:20:35:24 +0900] "GET /text/images/campus.jpg HTTP/1.1" 200 118410
0:0:0:0:0:0:0:1 - - [05/May/2021:20:35:41 +0900] "GET /text/main.jsp HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [05/May/2021:20:35:44 +0900] "GET /text/bbs.jsp HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [05/May/2021:20:35:52 +0900] "GET /text/main.jsp HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [05/May/2021:20:35:53 +0900] "GET /text/main.jsp HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [05/May/2021:21:01:53 +0900] "GET /text/main.jsp HTTP/1.1" 200 2762
0:0:0:0:0:0:0:1 - - [05/May/2021:21:01:53 +0900] "GET /text/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:01:53 +0900] "GET /text/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:01:53 +0900] "GET /text/images/door.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:01:53 +0900] "GET /text/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:01:53 +0900] "GET /text/images/info.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:01:53 +0900] "GET /text/images/campus.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:03:33 +0900] "GET /text/main.jsp HTTP/1.1" 200 2739
0:0:0:0:0:0:0:1 - - [05/May/2021:21:04:01 +0900] "GET /text/main.jsp HTTP/1.1" 200 2739
0:0:0:0:0:0:0:1 - - [05/May/2021:21:04:15 +0900] "GET /text/main.jsp HTTP/1.1" 200 2739
0:0:0:0:0:0:0:1 - - [05/May/2021:21:04:15 +0900] "GET /text/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:04:15 +0900] "GET /text/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:04:15 +0900] "GET /text/images/door.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:04:15 +0900] "GET /text/images/info.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:04:15 +0900] "GET /text/images/campus.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:04:16 +0900] "GET /text/main.jsp HTTP/1.1" 200 2739
0:0:0:0:0:0:0:1 - - [05/May/2021:21:04:16 +0900] "GET /text/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:04:16 +0900] "GET /text/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:04:16 +0900] "GET /text/images/door.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:04:16 +0900] "GET /text/images/campus.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:04:16 +0900] "GET /text/images/info.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:04:17 +0900] "GET /text/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:04:36 +0900] "GET /text/main.jsp HTTP/1.1" 200 2751
0:0:0:0:0:0:0:1 - - [05/May/2021:21:04:36 +0900] "GET /text/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:04:36 +0900] "GET /text/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:04:36 +0900] "GET /text/images/door.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:04:36 +0900] "GET /text/images/campus.jpg HTTP/1.1" 304 -
